trait,wave_feature,beta,pval,r2,correlation,n_overlap
lightexp_winter,lead7_level5_energy,0.10610074802694035,0.4339654693731544,9.168211680732341e-06,0.0030279054943172035,66775
lightexp_winter,lead7_level4_energy,0.0831057718830565,0.5399752498886475,5.624839253592917e-06,0.0023716743564360585,66775
lightexp_winter,lead7_level3_energy,0.10497739294586994,0.43884807050974395,8.975100218910903e-06,0.002995847162163148,66775
lightexp_winter,lead7_level2_energy,0.14310411103819273,0.2912873950576994,1.6678306893447292e-05,0.004083908286508043,66775
lightexp_winter,lead7_level1_energy,0.160518159867502,0.23652375300501147,2.0984377261945575e-05,0.0045808707972264835,66775
lightexp_winter,lead8_level6_approx_energy,0.305642561405735,0.024199149685552788,7.608085800436815e-05,0.008722434178716855,66775
lightexp_winter,lead8_level6_energy,0.431756378547315,0.0014523707302560222,0.00015181869891378597,0.012321473082149917,66775
lightexp_winter,lead8_level5_energy,0.30102550991456706,0.026425351361427887,7.379965677101197e-05,0.00859067266112505,66775
lightexp_winter,lead8_level4_energy,0.12351723965638076,0.3623691608278089,1.2425185914821668e-05,0.0035249377177198303,66775
lightexp_winter,lead8_level3_energy,0.018131396722235606,0.8936343101651762,2.6773815275937807e-07,0.0005174342007557076,66775
lightexp_winter,lead8_level2_energy,0.30457141179216063,0.024700604091582496,7.554852912816656e-05,0.008691865687349058,66775
lightexp_winter,lead8_level1_energy,0.25430693203402754,0.06074205213087172,5.267009936515965e-05,0.007257416852077849,66775
lightexp_winter,lead9_level6_approx_energy,0.0515725238607512,0.7037129966666389,2.166129971170605e-06,0.001471777826807806,66775
lightexp_winter,lead9_level6_energy,0.12672247100295383,0.35004777146927857,1.307841174535973e-05,0.0036164086807933577,66775
lightexp_winter,lead9_level5_energy,0.09126516129838,0.5009340933519326,6.783561893652923e-06,0.0026045271920697665,66775
lightexp_winter,lead9_level4_energy,-0.050844980220363725,0.7076991665473196,2.1054450231039468e-06,-0.0014510151703039577,66775
